ID,Date,User,Sentiment,CleanTweets,,,, 
1.12264E+18,4/28/2019 23:22,MusksFUDetector,negative,Definitely his thinking Highlight the FSD and autonomy potential of Tesla and see if that can divert attention away from their automobile business and soak up some dumb from any hole in the earth that ll give it to them,,,,
1.12264E+18,4/28/2019 23:20,0xMillyy,positive,is there any public online documentation of the Tesla Fleet API Is it even possible to use the fleet like a big OSINT network or do just Tesla members have access I got interested because of your talk at the Autonomy day 2 00 00,,,,
1.12263E+18,4/28/2019 22:25,Pixel22XL,neutral,jameshatfield You know Tesla catch fire run into parks fire trucks barriers and they are last in reliability still Level 5 autonomy,,,,
1.12262E+18,4/28/2019 21:44,mrksmns,positive,iyer0490 watch Tesla Autonomy Day for why Musk and his team believe LIDAR is a fools errand They re way ahead of competition b c of better non LIDAR approach Their fleet is constantly collecting varied real world data that trains the car,,,,
1.12262E+18,4/28/2019 21:34,AnonymousCynic,positive,This gets even more interesting The account Musk is engaging with may have some shady relationship with Tesla In addition to defending internet sex predators the scumbag lawyer Musk is chatting with has been writing blog posts promoting Tesla autonomy,,,,
1.12261E+18,4/28/2019 21:31,capstonehjr,neutral,RoboTaxi by Tesla Autonomy Day Event Recap via,,,,
1.12261E+18,4/28/2019 21:22,evolved_inertia,positive,It s also unclear at this point if investors would buy enough cars asked at the event about exactly that scenario But since the stock didn t explode after Autonomy Day it might be that many investors are still not convinced,,,,
1.12261E+18,4/28/2019 20:55,Christiano92,positive,p What s being challenged by anyone is not whether Tesla will have produced and delivered 1 million cars by 2020 But that they will achieve level 5 full autonomy everywhere in all road weather conditions by Q2 2020 which Elon says is the case,,,,
1.1226E+18,4/28/2019 20:34,ZugarPlume,neutral,But this is based soley off FSD and its breakthrough totality in autonomy,,,,
1.1226E+18,4/28/2019 20:23,letsrebel1,positive,I guess you can operate a rental car fleet but I think it s an unreal deal Musk on Autonomy Day on being asked by Gerber buying multiple Tesla can make money as rental cars Exact quote at 3 20 43 Segment starts at 3 19 40 Link below,,,,
1.1226E+18,4/28/2019 20:18,talkingtesla,positive,Talking Tesla 149 is now available We talk Robotaxi s Q1 earnings autonomy day and so much more What are you waiting for,,,,
1.12259E+18,4/28/2019 20:14,MarcusLauer3,positive,At autonomy day was referring to starting one s own fleet to compete with Tesla s fleet Here he is answering a question about purchasing cars and adding them to the Tesla taxi fleet,,,,
1.12259E+18,4/28/2019 20:00,letsrebel1,negative,Dude you said the exact opposite on Autonomy Day I think you can run a rental fleet but that would be completely bad deal You were also deflecting simple question with BS,,,,
1.12259E+18,4/28/2019 19:55,AnalyticaGlobal,neutral,Here are Elon Musk s wildest predictions about Tesla s self driving cars,,,,
1.12259E+18,4/28/2019 19:43,incentives101,positive,Missing part here is that it not only disrupts inner city transportation It would compete with in a radius of 6 7 drive obviously train amp bus It will compete with logistics it will make retail groceries more affordable Autonomy changes the economy not only taxi,,,,
1.12259E+18,4/28/2019 19:43,RandyVegetables,positive,Solving vision and L5 autonomy are 2 separate problems Lidar does not help in edge cases for autonomy If Tesla has really solved vision thats a valuable tech regardless of whether of not autonomy is solved Critisisms over Tesla s FSD actually applies to all autonomous systems,,,,
1.12258E+18,4/28/2019 19:25,OZZEY_H,positive,I think you misheard that question at the Autonomy Investor presentation Elon thanks for clearing that up,,,,
1.12258E+18,4/28/2019 19:22,Santiag12305175,positive,I think they will stop selling cars once the reach Level 5 autonomy and focus on the Network Way more proffitable The way to value the car would be through a NPV approach,,,,
1.12258E+18,4/28/2019 19:21,skynetcap,negative,Except the software isn t there no matter how much ML and Data you produce You even conceded this at autonomy day How can you make promises that are impossible barring breakthroughs from PhDs which are unable to predict,,,,
1.12258E+18,4/28/2019 19:02,AndersStromgren,neutral,The Tesla Life 96 Autonomy Snake via autonomys car auto ev ElectricVehicles,,,,
1.12258E+18,4/28/2019 18:59,jerswoodshop,positive,mccomb After autonomy day I m really glad I did,,,,
1.12257E+18,4/28/2019 18:53,stevecheney,positive,Writing 101 motivation I had zero plans to write about Tesla AV s this week or ever but passively came across their autonomy talk Tuesday twitter spent an hour writing the next morning then again today on the image processing edge Writing really is that easy Just begin,,,,
1.12257E+18,4/28/2019 18:47,hasdid,positive,Tech Automated Tesla Live Stream Autonomy Day,,,,
1.12256E+18,4/28/2019 18:11,leownag,positive,Hempton If we ignore the prospect for full autonomy as a pipe dream Tesla is on track to deploy of L3 technology in the near term This will allow them to price their cars at a significant premium over other EVs stimulate demand and earn higher margins Keen to hear your thoughts,,,,
1.12256E+18,4/28/2019 18:06,incentives101,negative,If you achieve autonomy by next year How long do you think it would take for a company to catch you in every way Cost AV EV battery tech if they start next year,,,,
1.12256E+18,4/28/2019 17:38,stevecheney,negative,4 The L5 autonomy and RoboCar questions mean there is a lot of investment today yes But what consumers will buy will come down to economics supply side and consumer side Will Tesla thrive Unclear But image processing technology will kill LiDAR,,,,
1.12255E+18,4/28/2019 17:18,aturnis,positive,truth Assuming the rate Tesla has quoted if 1 mile traveled for autonomous taxi services the US market alone is theoretically 2 5 trillion Autonomy could actually grow this number significantly with participation of citizens who currently abstain from driving such as the elderly,,,,
1.12255E+18,4/28/2019 17:08,norse_creative,positive,I m out 300 so looking at developments in Q2 demand before deciding TSLAQ can do their thing meantime Tesla needs to split into Autonomy division with Elon and hire a proven style conscious CEO to run automotive Combined holdings would be strategically stronger,,,,
1.12255E+18,4/28/2019 17:07,OliFrankPhonak,positive,Very impressed with Autonomy Day Q to and team What are your thoughts on real time sharing of data with nearby cars Example 2 cars before me just detected a kid running into the street so that my car already gets that information before the kid is visible,,,,
1.12254E+18,4/28/2019 16:46,OccuWorld,neutral,Tesla Autonomy Day What we learned,,,,
1.12254E+18,4/28/2019 16:22,ICannot_Enough,negative,Nate My Q1 2019 earnings estimate was correctly a much larger loss than the Wall Street consensus Electrification and autonomy will be major disruptive factors in the auto industry over the next few years Tesla is a recognized leader in both,,,,
1.12253E+18,4/28/2019 16:09,eprado_melo,positive,Tesla showed off its own proprietary chip developed specifically for the needs of its self driving vehicles It s quite an impressive piece of work Some technical details from Tesla s presentation are here,,,,
